State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,06,15240,Glendale Unified School District,"211,455","27,938","4,294"
CA,06,15270,Glendora Unified School District,"37,945","6,418",509
CA,06,15390,Gold Oak Union Elementary School District,"7,461",622,62
CA,06,15450,Gold Trail Union Elementary School District,"6,522",581,38
CA,06,15480,Golden Feather Union Elementary School District,"2,167",164,37
CA,06,91134,Golden Plains Unified School District,"6,762","1,723",256
CA,06,00068,Golden Valley Unified School District,"12,921","2,445",247
CA,06,15510,Goleta Union Elementary School District,"80,157","4,625",414
CA,06,00046,Gonzales Unified School District,"11,294","2,237",258
CA,06,15600,Gorman Elementary School District,112,16,0
CA,06,15690,Grant Elementary School District,"2,751",331,20
CA,06,15780,Grass Valley Elementary School District,"26,832","2,165",370
CA,06,15810,Gratton Elementary School District,597,71,4
CA,06,15840,Gravenstein Union Elementary School District,"5,582",459,35
CA,06,15870,Graves Elementary School District,95,13,3
CA,06,15990,Green Point Elementary School District,219,21,2
CA,06,16080,Greenfield Union Elementary School District,"19,551","3,382",682
CA,06,16050,Greenfield Union School District,"55,166","9,144","2,439"
CA,06,16110,Grenada Elementary School District,"1,087",111,20
CA,06,00051,Gridley Unified School District,"11,844","2,173",429
CA,06,16230,Grossmont Union High School District,"480,347","26,776","3,706"
CA,06,16260,Guadalupe Union Elementary School District,"8,077","1,292",253
CA,06,16320,Guerneville Elementary School District,"5,048",340,34
CA,06,16323,Gustine Unified School District,"10,659","2,335",505
CA,06,16325,Hacienda La Puente Unified School District,"110,492","17,548","2,644"
CA,06,01339,Hamilton Unified School District,"3,114",542,114
CA,06,16470,Hanford Elementary School District,"46,117","6,635","1,499"
CA,06,16500,Hanford Joint Union High School District,"72,970","4,729",830
CA,06,16530,Happy Camp Union Elementary School District,"1,025",93,22
CA,06,16560,Happy Valley Elementary School District,"1,517",101,10
CA,06,16570,Happy Valley Union Elementary School District,"5,891",628,100
CA,06,16620,Harmony Union School District,"4,359",278,14
CA,06,16650,Hart-Ransom Union Elementary School District,"4,093",472,44
CA,06,16680,Hawthorne Elementary School District,"72,763","8,666","1,914"
CA,06,16740,Hayward Unified School District,"179,432","25,940","2,816"
CA,06,00044,Healdsburg Unified School District,"15,764","1,971",133
CA,06,16830,Heber Elementary School District,"6,939","1,132",177
CA,06,16860,Helendale Elementary School District,"6,958",615,59
CA,06,16920,Hemet Unified School District,"154,569","26,726","4,490"
CA,06,17040,Hermosa Beach City Elementary School District,"19,037","2,306",102
CA,06,00014,Hesperia Unified School District,"110,384","23,765","4,941"
CA,06,17160,Hickman Community Charter School District,"1,230",181,15
CA,06,17190,Hillsborough City Elementary School District,"10,803","1,506",57
CA,06,17220,Hilmar Unified School District,"9,930","1,966",261
CA,06,17340,Hollister School District,"53,472","7,075",768
CA,06,17430,Holtville Unified School District,"7,966","1,708",332
CA,06,17490,Hope Elementary School District,"15,845","1,243",122
CA,06,17520,Hope Elementary School District,857,109,24
CA,06,17580,Horicon Elementary School District,"1,483",41,4
CA,06,17620,Hornbrook Elementary School District,693,63,18
CA,06,17640,Hot Springs Elementary School District,393,26,7
CA,06,17760,Howell Mountain Elementary School District,"3,121",348,24
CA,06,17850,Hueneme Elementary School District,"53,340","6,580","1,359"
CA,06,17880,Hughes-Elizabeth Lakes Union Elementary School District,"3,226",244,20
CA,06,00060,Hughson Unified School District,"13,156","2,370",190
CA,06,18030,Huntington Beach City Elementary School District,"83,155","6,818",445
CA,06,18060,Huntington Beach Union High School District,"317,640","15,230","1,529"
CA,06,18120,Hydesville Elementary School District,"1,340",168,16
CA,06,18160,"Igo, Ono, Platina Union Elementary School District",963,75,6
CA,06,18210,Imperial Unified School District,"24,302","5,023",567
CA,06,18240,Indian Diggings Elementary School District,148,9,1
CA,06,18390,Inglewood Unified School District,"107,183","16,508","3,599"
CA,06,84500,Irvine Unified School District,"268,208","42,438","3,330"
CA,06,18510,Island Union Elementary School District,"1,406",153,24
CA,06,18660,Jacoby Creek Elementary School District,"2,697",244,25
CA,06,18690,Jamestown Elementary School District,"8,052",490,86
CA,06,18730,Jamul-Dulzura Union Elementary School District,"8,823",843,106
CA,06,18780,Janesville Union Elementary School District,"3,029",377,40
CA,06,18810,Jefferson Elementary School District,184,20,1
CA,06,18840,Jefferson Elementary School District,"17,066","2,470",153
CA,06,18870,Jefferson Elementary School District,"85,914","7,090",752
CA,06,18930,Jefferson Union High School District,"136,362","5,700",434
CA,06,18990,John Swett Unified School District,"14,960","2,167",267
CA,06,19050,Johnstonville Elementary School District,"1,132",139,22
CA,06,19140,Julian Union Elementary School District,"4,098",339,32
CA,06,19110,Julian Union High School District,"4,574",202,17
CA,06,19170,Junction City Elementary School District,688,48,8
CA,06,19200,Junction Elementary School District,"3,968",468,34
CA,06,19230,Junction Elementary School District,365,42,18
CA,06,19260,Jurupa Unified School District,"108,463","20,784","2,990"
CA,06,32340,Kashia Elementary School District,69,13,2
CA,06,19320,Kelseyville Unified School District,"12,958","2,048",327
CA,06,19380,Kentfield Elementary School District,"12,076","1,356",52
CA,06,19410,Kenwood Elementary School District,"3,824",49,3
CA,06,19440,Keppel Union Elementary School District,"21,046","2,674",573
CA,06,19490,Kerman Unified School District,"21,676","4,853",856
CA,06,19540,Kern High School District,"666,555","46,951","10,177"
CA,06,19590,Kernville Union Elementary School District,"11,464",948,220
CA,06,19620,Keyes Union Elementary School District,"5,868",853,131
CA,06,19680,King City Union Elementary School District,"15,715","2,583",411
CA,06,19700,Kings Canyon Joint Unified School District,"47,302","10,106","2,376"
CA,06,19740,Kings River Union Elementary School District,"2,839",430,145
CA,06,19770,Kings River-Hardwick Union Elementary School District,"2,559",368,64
CA,06,19800,Kingsburg Elementary Charter School District,"15,569","2,148",264
CA,06,19830,Kingsburg Joint Union High School District,"18,323","1,193",140
CA,06,19860,Kirkwood Elementary School District,377,43,9
CA,06,19890,Kit Carson Union Elementary School District,"2,328",325,56
CA,06,19920,Klamath River Union Elementary School District,526,46,16
CA,06,19950,Klamath-Trinity Joint Unified School District,"6,319","1,197",215
CA,06,19980,Kneeland Elementary School District,405,61,7
CA,06,20010,Knights Ferry Elementary School District,726,113,9
CA,06,20040,Knightsen Elementary School District,"4,128",532,30
CA,06,20070,Konocti Unified School District,"24,624","4,266","1,163"
CA,06,20130,La Cañada Unified School District,"17,474","3,675",144
CA,06,20190,La Habra City Elementary School District,"50,752","5,476",702
CA,06,20220,La Honda-Pescadero Unified School District,"3,445",397,11
CA,06,20250,La Mesa-Spring Valley School District,"136,886","14,163","1,765"
CA,06,20310,Lafayette Elementary School District,"28,355","3,570",85
CA,06,20370,Laguna Beach Unified School District,"27,766","3,335",224
CA,06,20430,Laguna Joint Elementary School District,593,54,9
CA,06,20490,Lagunita Elementary School District,280,19,3
CA,06,20520,Lagunitas Elementary School District,"3,785",348,14
CA,06,20610,Lake Elementary School District,517,89,12
CA,06,00027,Lake Elsinore Unified School District,"140,708","26,815","3,350"
CA,06,20640,Lake Tahoe Unified School District,"29,709","3,727",311
CA,06,20670,Lakeport Unified School District,"11,323","1,703",260
CA,06,20700,Lakeside Joint Elementary School District,"1,695",155,11
CA,06,20760,Lakeside Union Elementary School District,"2,446",379,103
CA,06,20790,Lakeside Union Elementary School District,"43,084","4,829",523
CA,06,20730,Lakeside Union School District,"12,177","1,845",297
CA,06,01410,Lammersville Joint Unified School District,"26,860","6,171",232
CA,06,20850,Lamont Elementary School District,"14,780","2,468",813
CA,06,20880,Lancaster Elementary School District,"122,250","16,509","3,501"
CA,06,20910,Larkspur Elementary School District,"14,508","1,775",88
CA,06,22380,Las Lomitas Elementary School District,"11,094","1,410",27
CA,06,21000,Las Virgenes Unified School District,"60,664","10,495",681
CA,06,21060,Lassen Union High School District,"23,554","1,145",158
CA,06,21090,Lassen View Union Elementary School District,"2,642",288,44
CA,06,21150,Laton Joint Unified School District,"3,341",686,95
CA,06,21180,Latrobe Elementary School District,"4,114",275,20
CA,06,21210,Lawndale Elementary School District,"44,744","4,994","1,024"
CA,06,42580,Laytonville Unified School District,"2,999",426,184
CA,06,21240,Le Grand Union Elementary School District,"2,234",313,53
CA,06,21270,Le Grand Union High School District,"7,861",586,108
CA,06,09665,Leggett Valley Unified School District,611,76,37
CA,06,21330,Lemon Grove Elementary School District,"36,926","3,970",550
CA,06,21360,Lemoore Union Elementary School District,"28,877","4,137",768
CA,06,21400,Lemoore Union High School District,"40,363","2,483",372
CA,06,21420,Lennox Elementary School District,"25,162","3,198",831
CA,06,21480,Lewiston Elementary School District,"1,577",122,32
CA,06,21540,Liberty Elementary School District,"1,817",124,10
CA,06,21570,Liberty Elementary School District,"2,033",192,30
CA,06,21600,Liberty Union High School District,"126,367","7,789",494
CA,06,21690,Lincoln Unified School District,"51,255","9,281","1,421"
CA,06,21810,Linden Unified School District,"12,490","2,310",274
CA,06,21870,Lindsay Unified School District,"17,360","4,279",980
CA,06,21900,Linns Valley-Poso Flat Union School District,628,51,7
CA,06,21930,Little Lake City Elementary School District,"34,447","3,715",427
CA,06,21960,Little Shasta Elementary School District,332,38,11
CA,06,21990,Live Oak Elementary School District,"21,365","1,676",205
CA,06,22050,Live Oak Unified School District,"10,841","2,186",380
CA,06,22110,Livermore Valley Joint Unified School District,"87,563","14,198",632
CA,06,22170,Livingston Union School District,"17,244","2,480",523
CA,06,22230,Lodi Unified School District,"184,062","34,777","5,248"
CA,06,22320,Loleta Union Elementary School District,"1,571",176,25
CA,06,22350,Loma Prieta Joint Union Elementary School District,"4,633",483,16
CA,06,22410,Lompoc Unified School District,"59,249","10,795","1,985"
CA,06,22440,Lone Pine Unified School District,"2,367",339,60
CA,06,22500,Long Beach Unified School District,"498,669","74,300","11,964"
CA,06,22560,Loomis Union Elementary School District,"25,192","2,883",115
CA,06,22590,Los Alamitos Unified School District,"49,085","7,001",315
CA,06,22650,Los Altos Elementary School District,"43,508","5,646",127
CA,06,22710,Los Angeles Unified School District,"4,482,588","646,216","131,638"
CA,06,22740,Los Banos Unified School District,"50,942","11,870","2,333"
CA,06,22830,Los Gatos Union Elementary School District,"28,893","3,542",99
CA,06,22800,Los Gatos-Saratoga Joint Union School District,"55,297","3,459",89
CA,06,22860,Los Molinos Unified School District,"3,649",615,102
CA,06,22890,Los Nietos Elementary School District,"14,822","1,638",251
CA,06,22920,Los Olivos Elementary School District,"1,564",124,11
CA,06,22950,Lost Hills Union Elementary School District,"2,608",458,39
CA,06,23010,Lowell Joint Elementary School District,"34,331","3,536",299
CA,06,23040,Lucerne Elementary School District,"3,653",335,98
CA,06,00015,Lucerne Valley Unified School District,"6,363","1,042",266
CA,06,23080,Lucia Mar Unified School District,"79,641","10,959","1,297"
CA,06,23130,Luther Burbank Elementary School District,"3,876",346,46
CA,06,23160,Lynwood Unified School District,"64,624","12,719","2,779"
CA,06,23340,Madera Unified School District,"96,382","22,141","5,958"
CA,06,23430,Magnolia Elementary School District,"62,930","5,541","1,075"
CA,06,23460,Magnolia Union Elementary School District,125,15,4
CA,06,23530,Mammoth Unified School District,"8,473","1,151",102
CA,06,23550,Manchester Union Elementary School District,620,60,21
CA,06,00025,Manhattan Beach Unified School District,"34,263","6,221",226
CA,06,23610,Manteca Unified School District,"143,090","27,712","3,322"
CA,06,23700,Manzanita Elementary School District,"1,014",117,25
CA,06,23730,Maple Creek Elementary School District,87,20,3
CA,06,23760,Maple Elementary School District,449,74,8
CA,06,23800,Marcum-Illinois Union Elementary School District,825,63,3
CA,06,23820,Maricopa Unified School District,"1,691",301,67
CA,06,23940,Mariposa County Unified School District,"16,734","2,225",484
CA,06,23970,Mark Twain Union Elementary School District,"10,053",815,123
CA,06,24000,Mark West Union Elementary School District,"12,804",979,70
CA,06,24030,Martinez Unified School District,"30,813","4,479",283
CA,06,24090,Marysville Joint Unified School District,"68,256","13,444","3,059"
CA,06,00038,Mattole Unified School District,741,65,18
CA,06,24150,Maxwell Unified School District,"1,751",333,71
CA,06,24180,McCabe Union Elementary School District,"6,920","1,098",85
CA,06,24210,McCloud Union Elementary School District,"1,170",72,23
CA,06,24230,McFarland Unified School District,"15,010","3,786","1,110"
CA,06,24300,McKinleyville Union Elementary School District,"15,958","1,628",211
CA,06,24330,McKittrick Elementary School District,270,40,6
CA,06,24360,McSwain Union Elementary School District,"5,888",818,79
CA,06,24390,Meadows Union Elementary School District,"2,185",263,71
CA,06,24480,Mendocino Unified School District,"5,821",577,137
CA,06,00022,Mendota Unified School District,"14,162","3,310",889
CA,06,24540,Menifee Union School District,"111,500","13,629","1,248"
CA,06,24570,Menlo Park City Elementary School District,"26,624","3,211",84
CA,06,24600,Merced City Elementary School District,"93,882","12,530","3,516"
CA,06,24630,Merced River Union Elementary School District,716,89,13
CA,06,24660,Merced Union High School District,"188,080","12,864","2,880"
CA,06,24690,Meridian Elementary School District,554,51,10
CA,06,24720,Mesa Union Elementary School District,"3,576",336,21
CA,06,24750,Middletown Unified School District,"9,578","1,797",236
CA,06,24780,Midway Elementary School District,390,49,18
CA,06,24870,Mill Valley Elementary School District,"30,917","3,659",132
CA,06,24900,Millbrae Elementary School District,"24,848","2,306",167
CA,06,24930,Millville Elementary School District,"1,594",166,16
CA,06,24500,Milpitas Unified School District,"75,968","11,265",641
CA,06,25110,Mission Union Elementary School District,281,33,11
CA,06,25130,Modesto City Elementary School District,"121,029","16,419","3,395"
CA,06,25150,Modesto City High School District,"283,313","17,714","2,615"
CA,06,25190,Modoc Joint Unified School District,"5,953",914,242
CA,06,25230,Mojave Unified School District,"20,289","3,845","1,289"
CA,06,25290,Monroe Elementary School District,"1,095",150,51
CA,06,25320,Monrovia Unified School District,"42,784","6,127",699
CA,06,25350,Monson-Sultana Joint Union Elementary School District,"2,297",354,111
CA,06,25380,Montague Elementary School District,"1,694",194,43
CA,06,25410,Monte Rio Union Elementary School District,"1,692",74,7
CA,06,25470,Montebello Unified School District,"154,516","26,284","5,045"
CA,06,25500,Montecito Union Elementary School District,"5,639",419,40
CA,06,25530,Monterey Peninsula Unified School District,"92,139","13,471","1,742"
CA,06,25650,Montgomery Elementary School District,997,60,7
CA,06,25690,Moorpark Unified School District,"37,107","6,506",481
CA,06,25740,Moraga Elementary School District,"16,911","1,881",48
CA,06,25770,Moreland School District,"48,654","5,390",368
CA,06,25800,Moreno Valley Unified School District,"186,957","37,504","5,999"
CA,06,25830,Morgan Hill Unified School District,"65,640","11,352",717
CA,06,25860,Morongo Unified School District,"71,526","9,495","1,732"
CA,06,25980,Mother Lode Union Elementary School District,"16,097","1,337",115
CA,06,26340,Mount Baldy Joint Elementary School District,339,31,3
CA,06,26370,Mount Diablo Unified School District,"263,986","38,902","3,695"
CA,06,26400,Mount Pleasant Elementary School District,"21,352","2,228",269
CA,06,26040,Mount Shasta Union Elementary School District,"7,003",588,82
CA,06,26070,Mountain Elementary School District,"1,366",82,5
CA,06,26100,Mountain Empire Unified School District,"11,832","2,012",279
CA,06,26130,Mountain House Elementary School District,307,32,7
CA,06,27040,Mountain Union Elementary School District,"1,291",91,15
CA,06,00018,Mountain Valley Unified School District,"5,993",764,236
CA,06,26190,Mountain View Elementary School District,"52,324","6,551","1,667"
CA,06,26220,Mountain View Elementary School District,"30,167","3,534",332
CA,06,26280,Mountain View Whisman Elementary School District,"70,490","5,963",361
CA,06,26310,Mountain View-Los Altos Union School District,"113,999","4,751",184
CA,06,26430,Mulberry Elementary School District,116,14,4
CA,06,26460,Mupu Elementary School District,819,96,8
CA,06,26490,Muroc Joint Unified School District,"5,542","1,175",179
CA,06,00029,Murrieta Valley Unified School District,"116,443","22,770","1,792"
CA,06,26640,Napa Valley Unified School District,"114,000","16,922","1,374"
CA,06,26670,National Elementary School District,"55,844","4,891",927
CA,06,00036,Natomas Unified School District,"86,555","13,858","1,549"
CA,06,26760,Needles Unified School District,"7,123","1,073",238
CA,06,26820,Nevada City Elementary School District,"15,944","1,085",125
CA,06,26880,Nevada Joint Union High School District,"85,255","3,814",472
CA,06,26910,New Haven Unified School District,"73,144","10,049",793
CA,06,26970,New Hope Elementary School District,"1,513",202,21
CA,06,27030,New Jerusalem Elementary School District,"2,305",246,34
CA,06,27060,Newark Unified School District,"45,833","6,608",431
CA,06,27120,Newcastle Elementary School District,"2,808",272,13
CA,06,27180,Newhall Elementary School District,"71,500","6,415",613
CA,06,27200,Newman-Crows Landing Unified School District,"16,065","3,603",439
CA,06,27240,Newport-Mesa Unified School District,"192,653","25,341","2,395"
CA,06,27300,Nicasio Elementary School District,599,51,2
CA,06,27450,Norris Elementary School District,"30,121","4,826",348
CA,06,27480,North County Joint Union Elementary School District,"3,997",418,56
CA,06,27510,North Cow Creek Elementary School District,"1,516",137,8
CA,06,27590,North Monterey County Unified School District,"28,356","5,481","1,048"
CA,06,03030,Northern Humboldt Union High School District,"45,853","1,814",254
CA,06,27690,Norwalk-La Mirada Unified School District,"117,912","18,349","2,299"
CA,06,27720,Novato Unified School District,"58,444","8,625",727
CA,06,27750,Nuestro Elementary School District,445,58,17
CA,06,27780,Nuview Union Elementary School District,"10,427","1,290",185
CA,06,27810,Oak Grove Elementary School District,"110,067","12,085",995
CA,06,27840,Oak Grove Union Elementary School District,"4,793",367,24
CA,06,27850,Oak Park Unified School District,"13,664","2,608",110
CA,06,27870,Oak Run Elementary School District,675,78,19
CA,06,27900,Oak Valley Union Elementary School District,"1,315",186,41
CA,06,27930,Oak View Union Elementary School District,"2,918",377,49
CA,06,00062,Oakdale Joint Unified School District,"34,213","6,227",602
CA,06,28050,Oakland Unified School District,"423,807","54,912","9,106"
CA,06,28080,Oakley Union Elementary School District,"40,218","5,241",429
CA,06,28140,Ocean View Elementary School District,"96,131","8,967",958
CA,06,28170,Ocean View Elementary School District,"17,034","2,245",375
CA,06,28250,Oceanside Unified School District,"135,075","18,986","1,966"
CA,06,28270,Ojai Unified School District,"21,684","2,988",328
CA,06,28320,Old Adobe Union Elementary School District,"25,901","2,039",134
CA,06,28470,Ontario-Montclair School District,"168,262","21,212","4,033"
CA,06,28530,Orange Center Elementary School District,"1,728",252,102
CA,06,28650,Orange Unified School District,"220,583","33,130","3,105"
CA,06,28680,Orchard Elementary School District,"20,968","1,346",112
CA,06,28710,Orcutt Union Elementary School District,"38,109","4,445",484
CA,06,28830,Orick Elementary School District,366,25,6
CA,06,28860,Orinda Union Elementary School District,"19,337","2,609",49
CA,06,00045,Orland Joint Unified School District,"14,588","2,843",424
CA,06,28950,Oro Grande Elementary School District,861,92,17
CA,06,29100,Oroville City Elementary School District,"28,663","3,064",763
CA,06,29130,Oroville Union High School District,"54,458","3,117",694
CA,06,29160,Outside Creek Elementary School District,668,95,23
CA,06,29190,Owens Valley Unified School District,585,67,15
CA,06,29220,Oxnard Elementary School District,"122,557","14,749","2,832"
CA,06,29270,Oxnard Union High School District,"320,913","17,478","2,567"
CA,06,29280,Pacheco Union Elementary School District,"9,207",963,108
CA,06,29340,Pacific Elementary School District,936,75,5
CA,06,29370,Pacific Grove Unified School District,"17,107","2,312",145
CA,06,29400,Pacific Union Elementary School District,"2,803",423,119
CA,06,29430,Pacific Union Elementary School District,"5,489",466,79
CA,06,20460,Pacifica School District,"36,082","3,382",141
CA,06,29490,Pajaro Valley Joint Unified School District,"107,503","19,006","3,892"
CA,06,29540,Palermo Union Elementary School District,"8,079",913,226
CA,06,29550,Palm Springs Unified School District,"180,439","24,368","4,143"
CA,06,29580,Palmdale Elementary School District,"138,471","19,550","4,349"
CA,06,29610,Palo Alto Unified School District,"89,401","12,097",400
CA,06,29640,Palo Verde Unified School District,"21,744","2,996",550
CA,06,29670,Palo Verde Union Elementary School District,"2,370",409,83
CA,06,29700,Palos Verdes Peninsula Unified School District,"59,083","9,960",423
CA,06,06390,Panama-Buena Vista School District,"144,783","20,425","3,640"
CA,06,29770,Panoche Elementary School District,186,24,4
CA,06,29790,Paradise Elementary School District,854,87,7
CA,06,29820,Paradise Unified School District,"13,837","1,773",261
CA,06,29850,Paramount Unified School District,"75,252","14,282","2,896"
CA,06,29910,Parlier Unified School District,"15,417","3,691","1,081"
CA,06,29940,Pasadena Unified School District,"196,908","24,152","2,791"
CA,06,00048,Paso Robles Joint Unified School District,"49,343","7,139","1,065"
CA,06,30030,Patterson Joint Unified School District,"28,789","6,427",768
CA,06,30090,Peninsula Union Elementary School District,465,38,13
CA,06,01427,Penn Valley Union Elementary School District,"13,067",970,144
CA,06,30180,Perris Elementary School District,"52,025","6,077","1,256"
CA,06,30210,Perris Union High School District,"210,633","14,578","1,852"
CA,06,30230,Petaluma City Elementary School District,"31,198","2,340",177
CA,06,30250,Petaluma Joint Union High School District,"73,792","5,071",325
CA,06,30330,Piedmont City Unified School District,"10,977","2,381",42
CA,06,30360,Pierce Joint Unified School District,"7,037","1,416",117
CA,06,30390,Pine Ridge Elementary School District,958,95,8
CA,06,30450,Piner-Olivet Union Elementary School District,"15,561","1,186",85
CA,06,30480,Pioneer Union Elementary School District,"5,362",434,64
CA,06,30510,Pioneer Union Elementary School District,"12,262","1,761",133
CA,06,30520,Pioneer Union Elementary School District,"1,713",107,30
CA,06,30600,Pittsburg Unified School District,"62,895","10,863","1,800"
CA,06,30630,Pixley Union Elementary School District,"5,295",978,251
CA,06,30660,Placentia-Yorba Linda Unified School District,"162,734","27,275","2,004"
CA,06,30720,Placer Hills Union Elementary School District,"14,870","1,226",65
CA,06,30750,Placer Union High School District,"95,751","5,182",272
CA,06,30780,Placerville Union Elementary School District,"15,237","1,355",163
CA,06,30810,Plainsburg Union Elementary School District,497,67,8
CA,06,30840,Planada Elementary School District,"5,129",789,167
CA,06,30870,Plaza Elementary School District,332,56,25
CA,06,30900,Pleasant Grove Joint Union Elementary School District,868,97,9
CA,06,30930,Pleasant Ridge Union Elementary School District,"20,797","1,743",188
CA,06,30990,Pleasant Valley Elementary School District,"79,395","7,864",563
CA,06,31020,Pleasant Valley Joint Union Elementary School District,961,105,19
CA,06,31050,Pleasant View Elementary School District,"2,430",413,110
CA,06,00020,Pleasanton Unified School District,"77,511","14,543",421
CA,06,31180,Plumas Lake Elementary School District,"8,838","1,526",115
CA,06,31170,Plumas Unified School District,"18,459","2,350",391
CA,06,31230,Point Arena Joint Union High School District,"5,833",202,52
CA,06,31290,Pollock Pines Elementary School District,"9,440",844,103
CA,06,31320,Pomona Unified School District,"163,375","27,308","5,051"
CA,06,31350,Pond Union Elementary School District,482,94,24
CA,06,31380,Pope Valley Union Elementary School District,743,113,10
CA,06,00064,Porterville Unified School District,"103,090","16,022","4,192"
CA,06,31470,Portola Valley Elementary School District,"6,322",676,8
CA,06,31400,Potter Valley Community Unified School District,"2,156",343,46
CA,06,31530,Poway Unified School District,"202,727","36,999","1,695"
CA,06,31620,Princeton Joint Unified School District,"1,041",198,38
CA,06,31680,Raisin City Elementary School District,"1,809",317,122
CA,06,31710,Ramona City Unified School District,"36,549","6,327",477
CA,06,31740,Rancho Santa Fe Elementary School District,"6,140",472,11
CA,06,31830,Ravendale-Termo Elementary School District,146,20,10
CA,06,31860,Ravenswood City Elementary School District,"34,482","4,092",655
CA,06,31920,Raymond-Knowles Union Elementary School District,"1,182",137,16
CA,06,32010,Red Bluff Joint Union High School District,"43,610","2,566",419
CA,06,31980,Red Bluff Union Elementary School District,"20,752","2,474",501
CA,06,32040,Redding Elementary School District,"35,741","3,649",559
CA,06,32070,Redlands Unified School District,"132,946","22,248","2,589"
CA,06,00032,Redondo Beach Unified School District,"69,116","9,642",448
CA,06,32130,Redwood City Elementary School District,"95,632","9,362",892
CA,06,32160,Reed Union Elementary School District,"13,845","1,734",80
CA,06,32250,Reeds Creek Elementary School District,"1,153",98,14
CA,06,32270,Reef-Sunset Unified School District,"15,151","2,651",746
CA,06,32310,Rescue Union Elementary School District,"36,163","4,428",211
CA,06,32370,Rialto Unified School District,"129,237","26,755","4,827"
CA,06,32400,Richfield Elementary School District,"1,220",155,27
CA,06,32430,Richgrove Elementary School District,"2,690",488,117
CA,06,21450,Richland Union School District,"20,398","3,525",752
CA,06,32520,Richmond Elementary School District,"1,050",129,6
CA,06,32610,Rim of the World Unified School District,"30,433","4,500",276
CA,06,32640,Rincon Valley Union Elementary School District,"39,727","2,752",168
CA,06,32710,Rio Bravo-Greeley Union Elementary School District,"5,762",911,99
CA,06,32730,Rio Dell Elementary School District,"3,421",384,84
CA,06,32760,Rio Elementary School District,"41,918","4,978",821
CA,06,32880,Ripon Unified School District,"21,177","4,455",277
CA,06,33110,River Delta Joint Unified School District,"17,623","2,055",175
CA,06,00061,Riverbank Unified School District,"16,131","3,343",459
CA,06,00040,Riverdale Joint Unified School District,"7,733","1,576",242
CA,06,33150,Riverside Unified School District,"264,659","43,962","5,232"
CA,06,33210,Roberts Ferry Union Elementary School District,721,79,4
CA,06,33240,Robla Elementary School District,"20,868","2,135",377
CA,06,33270,Rockford Elementary School District,"1,214",178,41
CA,06,00013,Rocklin Unified School District,"72,794","14,197",591
CA,06,33390,Romoland Elementary School District,"36,681","4,881",621
CA,06,33480,Rosedale Union Elementary School District,"51,730","7,505",695
CA,06,33510,Roseland School District,"12,018","1,188",195
CA,06,33570,Rosemead Elementary School District,"25,681","2,295",456
CA,06,33600,Roseville City Elementary School District,"115,951","13,912",816
CA,06,33630,Roseville Joint Union High School District,"201,306","11,211",659
CA,06,33660,Ross Elementary School District,"2,672",430,5
CA,06,00006,Ross Valley Elementary School District,"23,460","2,583",131
CA,06,33690,Round Valley Joint Elementary School District,"1,095",90,16
CA,06,33720,Round Valley Unified School District,"3,067",554,216
CA,06,33750,Rowland Unified School District,"103,081","15,242","2,556"
CA,06,33840,Sacramento City Unified School District,"353,976","51,717","7,920"
CA,06,33860,Saddleback Valley Unified School District,"217,285","32,106","2,003"
CA,06,33900,Salida Union Elementary School District,"20,246","2,852",332
CA,06,33930,Salinas City Elementary School District,"83,192","8,902","2,108"
CA,06,33980,Salinas Union High School District,"181,535","17,603","4,012"
CA,06,34050,San Antonio Union Elementary School District,"1,485",175,28
CA,06,34080,San Ardo Union Elementary School District,540,93,23
CA,06,34140,San Benito High School District,"61,096","3,854",379
CA,06,34170,San Bernardino City Unified School District,"275,215","57,073","13,147"
CA,06,34230,San Bruno Park Elementary School District,"37,287","3,289",226
CA,06,34290,San Carlos Elementary School District,"27,503","3,352",74
CA,06,34320,San Diego City Unified School District,"1,057,325","128,731","15,999"
CA,06,34380,San Dieguito Union High School District,"181,743","15,117",603
CA,06,34410,San Francisco Unified School District,"808,988","78,048","8,236"
CA,06,34425,San Gabriel Unified School District,"40,518","5,311",753
CA,06,34440,San Jacinto Unified School District,"58,076","12,431","2,146"
CA,06,34590,San Jose Unified School District,"259,996","36,061","2,790"
CA,06,34620,San Juan Unified School District,"350,764","52,736","7,607"
CA,06,34680,San Leandro Unified School District,"72,070","9,757","1,141"
CA,06,34710,San Lorenzo Unified School District,"80,095","12,305","1,544"
CA,06,34740,San Lorenzo Valley Unified School District,"24,519","3,125",243
CA,06,34770,San Lucas Union Elementary School District,446,78,15
CA,06,34800,San Luis Coastal Unified School District,"93,406","8,709",734
CA,06,34880,San Marcos Unified School District,"126,000","21,362","1,643"
CA,06,34860,San Marino Unified School District,"14,037","2,595",172
CA,06,34980,San Mateo Union High School District,"237,410","10,411",659
CA,06,34920,San Mateo-Foster City Elementary School District,"133,452","12,872",995
CA,06,35010,San Miguel Joint Union Elementary School District,"6,433",833,107
CA,06,35040,San Pasqual Union Elementary School District,"3,351",474,35
CA,06,35070,San Pasqual Valley Unified School District,"2,959",635,171
CA,06,35090,San Rafael City Elementary School District,"54,916","4,859",794
CA,06,35110,San Rafael City High School District,"76,706","3,020",357
CA,06,35130,San Ramon Valley Unified School District,"161,995","31,604",794
