State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00195,Pike Road City School District,"9,275","2,142",114
AL,01,02820,Randolph County School District,"17,277","2,621",583
AL,01,02850,Roanoke City School District,"5,509",933,293
AL,01,02880,Russell County School District,"26,943","4,615",922
AL,01,02910,Russellville City School District,"10,750","2,139",538
AL,01,00185,Saraland City School District,"16,095","3,002",376
AL,01,00189,Satsuma City School District,"6,697","1,146",109
AL,01,02940,Scottsboro City School District,"15,839","2,370",445
AL,01,02970,Selma City School District,"16,898","3,071","1,377"
AL,01,03000,Sheffield City School District,"9,584","1,464",449
AL,01,03030,Shelby County School District,"142,708","24,780","2,149"
AL,01,03062,St. Clair County School District,"62,056","10,577","1,360"
AL,01,03090,Sumter County School District,"11,727","1,677",643
AL,01,03120,Sylacauga City School District,"12,422","1,953",460
AL,01,03150,Talladega City School District,"15,665","2,414",574
AL,01,03180,Talladega County School District,"48,699","7,159","1,419"
AL,01,03210,Tallapoosa County School District,"22,240","3,176",650
AL,01,03240,Tallassee City School District,"9,352","1,502",302
AL,01,03270,Tarrant City School District,"6,016","1,219",465
AL,01,03300,Thomasville City School District,"4,978",799,242
AL,01,03330,Troy City School District,"17,796","2,157",734
AL,01,00013,Trussville City School District,"25,638","5,455",219
AL,01,03360,Tuscaloosa City School District,"103,334","12,260","3,264"
AL,01,03390,Tuscaloosa County School District,"134,039","23,548","4,070"
AL,01,03420,Tuscumbia City School District,"9,233","1,368",288
AL,01,03430,Vestavia Hills City School District,"38,482","7,915",245
AL,01,03450,Walker County School District,"50,287","8,397","1,852"
AL,01,03480,Washington County School District,"15,022","2,295",618
AL,01,03510,Wilcox County School District,"9,944","1,599",758
AL,01,03540,Winfield City School District,"6,629","1,025",182
AL,01,03580,Winston County School District,"15,739","2,295",494
AK,02,00050,Alaska Gateway School District,"2,325",447,80
AK,02,00010,Aleutian Region School District,491,18,2
AK,02,00007,Aleutians East Borough School District,"3,461",141,27
AK,02,00180,Anchorage School District,"286,075","49,225","4,276"
AK,02,00525,Annette Island School District,"1,546",289,58
AK,02,00020,Bering Strait School District,"6,168","1,687",395
AK,02,00030,Bristol Bay Borough School District,844,126,23
AK,02,00730,Chatham School District,"1,277",134,39
AK,02,00800,Chugach School District,484,76,10
AK,02,00070,Copper River School District,"2,543",490,87
AK,02,00060,Cordova City School District,"2,487",404,37
AK,02,00090,Craig City School District,"1,026",172,19
AK,02,00100,Delta/Greely School District,"4,882",887,101
AK,02,00770,Denali Borough School District,"1,584",216,24
AK,02,00120,Dillingham City School District,"2,133",420,75
AK,02,00600,Fairbanks North Star Borough School District,"94,840","15,872","1,187"
AK,02,00130,Galena City School District,453,116,23
AK,02,00270,Haines Borough School District,"2,070",249,34
