latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
38.836426,-106.126868,No,HS,BUENA VISTA SCHOOL DISTRICT NO. R-31,BUENA VISTA HIGH SCHOOL,CO,____hi,HN
37.9251,-104.9292,No,HS,PUEBLO COUNTY SCHOOL DISTRICT 70,RYE HIGH SCHOOL,CO,____hi,HN
40.581336,-104.736959,No,HS,WELD COUNTY SCHOOL DISTRICT NO. RE-9,HIGHLAND HIGH SCHOOL,CO,____hi,HN
40.273553,-106.952065,No,HS,SOUTH ROUTT SCHOOL DISTRICT NO. RE 3,SOROCO HIGH SCHOOL,CO,____hi,HN
40.6344,-103.2174,No,HS,SCHOOL DISTRICT NO. RE-1 VALLEY,STERLING HIGH SCHOOL,CO,____hi,HN
40.0701,-104.5101,No,HS,WELD COUNTY SCHOOL DISTRICT RE-3J,WELD CENTRAL SENIOR HIGH SCHOOL,CO,____hi,HN
37.12,-107.6365,No,HS,IGNACIO SCHOOL DISTRICT NO. 11JT,IGNACIO HIGH SCHOOL,CO,____hi,HN
40.259599,-103.637663,No,HS,SCHOOL DISTRICT NO. RE-2 BRUSH,BRUSH HIGH SCHOOL,CO,____hi,HN
40.3392,-104.9134,No,HS,WELD COUNTY SCHOOL DISTRICT NO. RE-5J,ROOSEVELT HIGH SCHOOL,CO,____hi,HN
38.967994,-104.84588,No,HS,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,AIR ACADEMY HIGH SCHOOL,CO,____hi,HN
40.101412,-104.947995,No,HS,ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,FREDERICK SENIOR HIGH SCHOOL,CO,____hi,HN
31.1927,-83.2645,No,HS,BERRIEN COUNTY,BERRIEN ACADEMY PERFORMANCE LEARNING CENTER,GA,____hi,HN
32.2806,-83.491,No,HS,PULASKI COUNTY,HAWKINSVILLE HIGH SCHOOL,GA,____hi,HN
31.706019,-83.642058,No,HS,TURNER COUNTY,TURNER COUNTY HIGH SCHOOL,GA,____hi,HN
34.8599,-85.5071,No,HS,DADE COUNTY,DADE COUNTY HIGH SCHOOL,GA,____hi,HN
31.2186,-83.2446,No,HS,BERRIEN COUNTY,BERRIEN HIGH SCHOOL,GA,____hi,HN
31.521944,-82.459265,No,HS,BACON COUNTY,BACON COUNTY HIGH SCHOOL,GA,____hi,HN
44.075652,-116.928601,No,HS,PAYETTE JOINT DISTRICT,TREASURE VALLEY TECH (TVT) - IDAHO,ID,____hi,HN
45.167718,-113.886153,No,HS,SALMON DISTRICT,SALMON ALTERNATIVE HIGH SCHOOL,ID,____hi,HN
42.593959,-114.170156,No,HS,VALLEY DISTRICT,CORNERSTONE HIGH SCHOOL,ID,____hi,HN
44.263877,-116.981345,No,HS,WEISER DISTRICT,INDIANHEAD ACADEMY HIGH SCHOOL,ID,____hi,HN
42.316418,-111.304186,No,HS,BEAR LAKE COUNTY DISTRICT,CLOVER CREEK HIGH SCHOOL,ID,____hi,HN
47.328107,-116.57457,No,HS,ST MARIES JOINT DISTRICT,ST MARIES COMMUNITY EDUCATION ALTERNATIVE,ID,____hi,HN
43.125336,-115.70284,No,HS,IDAHO VIRTUAL HIGH SCHOOL INC.,RICHARD MCKENNA CHARTER SCHOOL - ONSITE,ID,____hi,HN
43.537625,-116.412013,No,HS,KUNA JOINT DISTRICT,SWAN FALLS HIGH SCHOOL,ID,____hi,HN
42.935967,-114.712443,No,HS,GOODING JOINT DISTRICT,GOODING ALTERNATIVE LEARING CENTER,ID,____hi,HN
43.872126,-111.739275,No,HS,SUGAR-SALEM JOINT DISTRICT,SUGAR-SALEM HIGH SCHOOL,ID,____hi,HN
43.137137,-115.675564,No,HS,IDAHO VIRTUAL HIGH SCHOOL INC.,RICHARD MCKENNA CHARTER SCHOOL - ONLINE ALTERNATIVE,ID,____hi,HN
37.544139,-94.689703,No,HS,NORTHEAST,NORTHEAST VIRTUAL SCHOOL,KS,____hi,HN
