latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
33.935167,-118.26879,Yes,HS,ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,Alain Leroy Locke College Preparatory,CA,____hi,Y
34.187261,-118.506195,Yes,HS,HIGH TECH LA DISTRICT,HIGH TECH LA,CA,____hi,Y
34.237284,-118.253992,Yes,HS,GLENDALE UNIFIED,Clark Magnet High School,CA,____hi,Y
37.2922,-121.8303,Yes,HS,EAST SIDE UNION HIGH,Andrew P Hill High School,CA,____hi,Y
32.800381,-117.160327,Yes,HS,SAN DIEGO UNIFIED,Kearny High School Biomedical Science and Technology,CA,____hi,Y
38.333255,-122.304697,Yes,HS,NAPA VALLEY UNIFIED,Vintage High School,CA,____hi,Y
33.623543,-117.912667,Yes,HS,NEWPORT-MESA UNIFIED,Newport Harbor High School,CA,____hi,Y
37.246871,-121.882433,Yes,HS,SAN JOSE UNIFIED,Pioneer High School,CA,____hi,Y
34.170024,-118.327563,Yes,HS,BURBANK UNIFIED,John Burroughs High School,CA,____hi,Y
37.2422,-121.9204,Yes,HS,CAMPBELL UNION HIGH,Leigh High School,CA,____hi,Y
