latitude,longitude,Offers CS?,School District Name,School Name,State,Agency ID,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
34.0995,-84.3364,1,FULTON COUNTY,Milton High School,GA,1302280,GA,30310,44636,43407,222,11615,14238,36592,21704,50,3622,14.39,6120.1,12593,92,81.6,912211000,405996000,107358000,15787,6859,"615,147","109,662","13,666"
34.299754,-83.844685,1,GAINESVILLE CITY,Gainesville High School,GA,1302310,GA,2356,4191,3953,2,222,5049,1458,1102,3,308,14.93,545.6,1052.7,9,9,46390000,41920000,13244000,13165,514,"45,378","7,481","1,308"
30.8723,-84.1999,1,GRADY COUNTY,Cairo High School,GA,1302460,GA,1298,2288,2175,17,24,1299,1317,1676,0,130,13.54,329.6,634.4,7,0,13966000,34171000,11122000,13061,261,"26,066","4,805","1,246"
33.8595,-84.1139,1,GWINNETT COUNTY,Parkview High School,GA,1302550,GA,61692,93301,88913,383,21721,64522,58553,29039,162,7834,14.2,12830.2,24132.5,141,92.5,1095514000,1053035000,196341000,13218,12577,"968,538","190,574","26,577"
34.01,-84.1438,1,GWINNETT COUNTY,Duluth High School,GA,1302550,GA,61692,93301,88913,383,21721,64522,58553,29039,162,7834,14.2,12830.2,24132.5,141,92.5,1095514000,1053035000,196341000,13218,12577,"968,538","190,574","26,577"
33.9488,-84.0003,1,GWINNETT COUNTY,Central Gwinnett High School,GA,1302550,GA,61692,93301,88913,383,21721,64522,58553,29039,162,7834,14.2,12830.2,24132.5,141,92.5,1095514000,1053035000,196341000,13218,12577,"968,538","190,574","26,577"
33.8837,-84.04,1,GWINNETT COUNTY,Brookwood High School,GA,1302550,GA,61692,93301,88913,383,21721,64522,58553,29039,162,7834,14.2,12830.2,24132.5,141,92.5,1095514000,1053035000,196341000,13218,12577,"968,538","190,574","26,577"
34.078935,-83.911771,1,GWINNETT COUNTY,Seckinger High School,GA,1302550,GA,61692,93301,88913,383,21721,64522,58553,29039,162,7834,14.2,12830.2,24132.5,141,92.5,1095514000,1053035000,196341000,13218,12577,"968,538","190,574","26,577"
33.438467,-84.136988,1,HENRY COUNTY,Mcdonough High School,GA,1302820,GA,15465,21933,21325,101,1183,5407,27331,6791,53,2392,16.42,2635,5229.5,48.5,43.1,267900000,216103000,38910000,12336,3458,"254,613","48,743","7,077"
33.380105,-84.255041,1,HENRY COUNTY,Hampton High School,GA,1302820,GA,15465,21933,21325,101,1183,5407,27331,6791,53,2392,16.42,2635,5229.5,48.5,43.1,267900000,216103000,38910000,12336,3458,"254,613","48,743","7,077"
32.4675,-83.7258,1,HOUSTON COUNTY,Perry High School,GA,1302880,GA,9387,15756,15070,65,854,3631,12580,11480,26,2190,15.12,2038.9,4347.4,38,4,141696000,213397000,68070000,14257,1945,"171,974","33,245","5,443"
31.5776,-83.2394,0,IRWIN COUNTY,IRWIN COUNTY HIGH SCHOOL,GA,1302910,GA,502,883,749,0,8,86,568,910,0,60,13.28,122.9,251.3,2,0,5950000,13367000,4360000,14332,120,"9,120","1,582",463
34.1184,-83.2123,1,MADISON COUNTY,Madison County High School,GA,1303480,GA,1486,2664,2466,2,151,720,578,3401,0,278,13.56,378.4,759.2,8,5,21540000,40458000,8728000,14228,280,"32,191","5,585",825
33.599542,-83.449301,1,MORGAN COUNTY,Morgan County High School,GA,1303780,GA,1065,1794,1701,15,28,263,751,2293,0,145,13.9,251.4,517.3,4,3.9,24818000,19045000,5792000,15316,245,"21,460","3,602",567
34.7778,-84.786,1,MURRAY COUNTY,Murray County High School,GA,1303840,GA,2174,3482,3276,16,32,1814,39,4735,1,121,14.33,471.7,794.1,9.9,5,25447000,48630000,13102000,12660,454,"41,035","7,235","1,336"
33.8925,-84.8334,1,PAULDING COUNTY,Paulding County High School,GA,1304020,GA,10480,16313,15518,80,444,4170,9980,15231,40,1886,14.87,2140.4,4020.3,33,33,138557000,197445000,35581000,12400,2371,"183,164","35,179","3,573"
33.089052,-84.344551,0,PIKE COUNTY,ZEBULON HIGH SCHOOL,GA,1304170,GA,1139,1854,1694,0,12,119,209,3108,1,99,14.57,243.5,455.5,4,4,14646000,22568000,4896000,12353,294,"20,461","3,651",437
