feature,VIF
diplomas_per_100,5.146602855925432
rev_per_student_calc,4.870798358597268
poverty_rate_5_17,4.465910072480211
pct_white,3.747218070221003
Pupil/Teacher Ratio [District] 2023-24,3.1675570539382343
pct_hisp,2.240247002158511
pct_black,1.9847173503443063
